Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Income_Value,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,Avg_Transaction_Value,Engagement_Score,Credit_Pressure,High_Credit_Flag,Tenure_Group,Trans_Freq_Group,High_Contact_Flag,Stability_Score
0,41,1,3,2.0,33,4,2,1,4470.0,680,3790.0,1.608,1.571,0.152,50000.0,1,0,0,0,0,0,51.72222222222222,20,0.15212527964205816,0,1,0,0,1.5895000000000001
0,47,0,4,3.0,36,3,3,2,2492.0,1560,932.0,0.573,0.353,0.626,30000.0,0,1,0,0,0,0,48.95652173913044,23,0.6260032102728732,0,1,0,0,0.46299999999999997
0,54,1,2,3.0,42,4,2,3,12217.0,0,12217.0,1.075,0.75,0.0,100000.0,1,0,0,0,0,0,52.857142857142854,23,0.0,1,1,0,1,0.9125
0,41,0,3,4.0,28,6,1,2,7768.0,1669,6099.0,0.797,0.833,0.215,30000.0,0,1,0,0,0,0,47.77272727272727,27,0.21485581874356333,1,1,0,0,0.815
0,59,1,1,2.0,46,4,1,2,14784.0,1374,13410.0,0.921,1.3,0.093,50000.0,0,0,1,0,0,0,52.04347826086956,26,0.0929383116883117,1,1,0,0,1.1105
0,63,1,1,3.0,56,3,3,2,10215.0,1010,9205.0,0.843,1.0,0.099,70000.0,1,0,0,0,0,0,47.6,40,0.09887420460107685,1,2,0,0,0.9215
0,44,0,3,1.0,34,5,2,2,10100.0,0,10100.0,0.525,1.571,0.0,50000.0,0,1,0,0,0,0,58.44444444444444,21,0.0,1,1,0,0,1.048
0,47,1,4,2.0,42,6,0,0,4785.0,1362,3423.0,0.739,0.9,0.285,50000.0,1,0,0,0,0,0,27.5,44,0.2846394984326019,1,1,0,0,0.8195
0,53,1,3,3.0,33,3,2,3,2753.0,1811,942.0,0.977,2.571,0.658,100000.0,1,0,0,0,0,0,41.52,26,0.6578278241917908,0,1,0,1,1.774
0,53,1,2,1.0,48,2,5,1,2451.0,1690,761.0,1.323,1.6,0.69,70000.0,1,0,0,0,0,0,61.38461538461539,23,0.689514483884129,0,1,0,0,1.4615
0,41,1,4,4.0,36,4,1,2,8923.0,2517,6406.0,1.726,1.667,0.282,70000.0,1,0,0,0,0,0,66.20833333333333,27,0.2820800179311891,1,1,0,0,1.6965
0,53,0,2,3.0,38,5,2,3,2650.0,1490,1160.0,1.75,1.0,0.562,30000.0,1,0,0,0,0,0,50.392857142857146,31,0.5622641509433962,0,1,0,1,1.375
0,58,1,0,4.0,49,6,2,2,12555.0,1696,10859.0,0.519,0.714,0.135,100000.0,1,0,0,0,0,0,53.791666666666664,28,0.13508562325766627,1,2,0,0,0.6165
0,55,0,1,3.0,36,4,2,1,3520.0,1914,1606.0,0.51,0.483,0.544,30000.0,0,1,0,0,0,0,32.72093023255814,45,0.54375,0,1,0,0,0.4965
0,55,0,3,4.0,36,6,2,3,3035.0,2298,737.0,1.724,1.176,0.757,30000.0,1,0,0,0,0,0,50.729729729729726,41,0.757166392092257,0,1,0,1,1.45
0,42,0,4,2.0,36,2,3,3,15433.0,0,15433.0,0.865,1.2,0.0,30000.0,1,0,0,1,0,0,43.90909090909091,21,0.0,1,1,0,1,1.0325
0,57,0,1,4.0,49,3,3,2,3672.0,886,2786.0,1.32,0.556,0.241,50000.0,0,0,1,0,0,0,52.285714285714285,28,0.24128540305010893,0,2,0,0,0.9380000000000001
1,66,0,0,6.0,56,5,4,3,7882.0,605,7277.0,1.052,0.143,0.077,50000.0,1,0,0,0,0,0,44.0,17,0.07675716823141335,1,2,0,1,0.5975
0,45,1,3,4.0,41,2,2,2,32426.0,578,31848.0,1.042,0.474,0.018,100000.0,0,1,0,0,0,0,39.607142857142854,28,0.017825201998396347,1,1,0,0,0.758
0,51,1,2,3.0,44,4,1,0,6205.0,2204,4001.0,0.803,0.556,0.355,50000.0,1,0,0,0,0,0,48.107142857142854,31,0.35519742143432714,1,1,0,0,0.6795
0,50,0,1,3.0,43,3,2,3,17304.0,2517,14787.0,1.449,1.2,0.145,50000.0,0,1,0,0,0,1,53.21212121212121,34,0.14545769764216365,1,1,0,1,1.3245
0,49,1,3,2.0,37,5,2,1,3906.0,0,3906.0,1.214,1.0,0.0,70000.0,1,0,0,0,0,0,54.875,35,0.0,0,1,0,0,1.107
0,38,0,4,4.0,28,2,3,3,9830.0,2055,7775.0,0.977,0.917,0.209,50000.0,0,1,0,0,0,0,45.30434782608695,22,0.20905391658189218,1,1,0,1,0.9470000000000001
0,49,1,4,1.0,30,3,2,3,34516.0,0,34516.0,1.621,1.333,0.0,100000.0,0,1,0,0,0,0,51.57142857142857,29,0.0,1,1,0,1,1.4769999999999999
0,56,1,2,6.0,45,6,2,0,2283.0,1430,853.0,2.316,0.588,0.626,70000.0,1,0,0,0,0,0,64.48148148148148,31,0.6263688129653964,0,1,0,0,1.452
0,59,1,1,6.0,52,3,2,2,2548.0,2020,528.0,2.357,1.7,0.793,50000.0,1,0,0,0,0,0,63.666666666666664,28,0.792778649921507,0,2,0,0,2.0285
0,46,1,3,2.0,40,4,3,3,19458.0,1435,18023.0,0.787,0.8,0.074,100000.0,1,0,0,0,0,0,45.074074074074076,28,0.07374858669955803,1,1,0,1,0.7935000000000001
0,52,1,1,3.0,40,5,1,1,4745.0,1227,3518.0,0.624,0.6,0.259,100000.0,0,1,0,0,0,0,28.5,44,0.2585879873551106,1,1,0,0,0.612
0,52,0,3,3.0,41,6,3,2,2622.0,1549,1073.0,1.321,1.143,0.591,30000.0,1,0,0,0,0,0,62.6,33,0.5907704042715485,0,1,0,0,1.232
1,54,0,1,4.0,40,2,3,1,1438.3,808,630.3,0.997,0.9,0.562,30000.0,1,0,0,0,0,0,37.10526315789474,18,0.561774316901898,0,1,0,0,0.9485
0,66,0,0,2.0,54,3,4,2,3171.0,2179,992.0,1.224,1.923,0.687,30000.0,1,0,0,0,0,0,51.21052631578947,37,0.6871649321980448,0,2,0,0,1.5735000000000001
0,49,1,2,3.0,36,4,2,0,19763.0,2517,17246.0,0.664,0.25,0.127,130000.0,1,0,0,0,0,0,40.4,37,0.12735920659818853,1,1,0,0,0.457
1,56,1,2,4.0,36,1,3,3,15769.0,0,15769.0,1.041,0.364,0.0,130000.0,1,0,0,0,0,0,40.13333333333333,13,0.0,1,1,0,1,0.7024999999999999
0,49,0,4,4.0,36,6,4,2,3298.0,2200,1098.0,0.678,0.6,0.667,30000.0,0,0,1,0,0,0,32.875,34,0.667070952092177,0,1,0,0,0.639
0,49,0,3,4.0,36,2,2,0,2802.0,2363,439.0,0.75,0.6,0.843,30000.0,0,1,0,0,0,0,32.375,40,0.8433261955745895,0,1,0,0,0.675
0,56,1,2,1.0,50,4,2,3,4458.0,1880,2578.0,1.107,1.417,0.422,50000.0,1,0,0,0,0,0,49.10344827586207,31,0.4217137729923733,0,2,0,1,1.262
0,44,0,5,4.0,35,4,1,2,6273.0,978,5295.0,2.275,1.083,0.156,50000.0,1,0,0,0,0,0,54.36,28,0.1559062649450024,1,1,0,0,1.6789999999999998
0,42,1,2,2.0,34,4,4,3,3336.0,1753,1583.0,0.69,1.25,0.525,70000.0,0,1,0,0,0,0,43.25925925925926,27,0.5254796163069544,0,1,0,1,0.97
0,55,1,3,3.0,47,4,2,3,3436.0,2016,1420.0,0.901,0.833,0.587,100000.0,1,0,0,0,0,0,33.24242424242424,35,0.5867287543655413,0,1,0,1,0.867
1,48,1,2,4.0,35,2,4,4,34516.0,0,34516.0,0.763,0.5,0.0,70000.0,1,0,0,0,0,1,46.06666666666667,13,0.0,1,1,0,1,0.6315
0,39,1,1,2.0,33,5,3,3,5926.0,1251,4675.0,0.944,1.154,0.211,70000.0,0,0,0,0,0,0,47.0,30,0.21110361120485993,1,1,0,1,1.049
0,44,1,4,5.0,32,2,4,2,23957.0,2102,21855.0,0.997,0.733,0.088,130000.0,0,1,0,0,0,0,49.07692307692308,24,0.08774053512543306,1,1,0,0,0.865
0,53,1,2,2.0,44,4,2,2,14734.0,1634,13100.0,0.989,0.917,0.111,130000.0,0,1,0,0,0,0,56.04347826086956,25,0.11089995927786073,1,1,0,0,0.9530000000000001
0,51,1,4,1.0,38,4,1,4,34516.0,1515,33001.0,0.592,0.6,0.044,100000.0,0,1,0,0,0,1,40.40625,35,0.043892687449298876,1,1,0,1,0.596
0,57,1,2,3.0,52,5,3,3,6584.0,1817,4767.0,0.62,0.667,0.276,70000.0,1,0,0,0,0,0,38.65714285714286,37,0.27597205346294046,1,2,0,1,0.6435
0,44,0,2,1.0,20,6,3,3,2084.0,1468,616.0,1.004,0.556,0.704,30000.0,0,1,0,0,0,0,40.42857142857143,31,0.7044145873320538,0,0,0,1,0.78
0,49,1,2,4.0,32,2,2,2,1687.0,1107,580.0,1.715,2.4,0.656,70000.0,1,0,0,0,0,0,98.23529411764706,17,0.6561944279786603,0,1,0,0,2.0575
0,50,1,2,6.0,38,6,2,2,25300.0,1330,23970.0,1.072,2.0,0.053,100000.0,1,0,0,0,0,0,55.8,19,0.05256916996047431,1,1,0,0,1.536
0,51,1,4,4.0,42,3,2,3,34516.0,1763,32753.0,1.266,1.05,0.051,130000.0,0,1,0,0,0,0,37.80487804878049,42,0.051077761038359024,1,1,0,1,1.158
0,55,0,2,4.0,42,5,3,3,2216.0,1034,1182.0,0.758,0.286,0.467,30000.0,1,0,0,0,0,0,42.77777777777778,38,0.4666064981949459,0,1,0,1,0.522
0,54,1,1,4.0,43,4,2,3,2910.0,2030,880.0,0.769,0.4,0.698,70000.0,0,0,1,0,0,0,59.80952380952381,23,0.697594501718213,0,1,0,1,0.5845
0,42,1,5,1.0,37,6,2,2,22913.0,1528,21385.0,0.414,0.522,0.067,100000.0,1,0,0,0,0,0,39.82857142857143,39,0.06668703356173351,1,1,0,0,0.46799999999999997
0,44,1,1,3.0,35,3,3,3,24312.0,1932,22380.0,1.312,1.182,0.079,70000.0,0,1,0,0,0,0,55.875,24,0.07946692991115499,1,1,0,1,1.2469999999999999
0,53,1,2,4.0,36,5,3,2,5272.0,1515,3757.0,0.857,0.435,0.287,100000.0,0,1,0,0,0,0,39.06060606060606,35,0.28736722306525037,1,1,0,0,0.646
0,44,0,4,4.0,36,6,4,2,7000.0,2517,4483.0,0.475,1.875,0.36,30000.0,0,1,0,0,0,0,48.34782608695652,25,0.3595714285714286,1,1,0,0,1.175
0,37,0,3,1.0,29,4,4,2,7038.0,1801,5237.0,0.751,0.966,0.256,30000.0,0,1,0,0,0,0,41.03508771929825,57,0.25589656152316,1,1,1,0,0.8585
0,49,1,3,4.0,30,6,1,2,2536.0,1823,713.0,0.703,0.353,0.719,70000.0,0,0,0,0,0,0,63.82608695652174,28,0.7188485804416404,0,1,0,0,0.528
0,47,1,2,4.0,38,6,3,2,28904.0,1899,27005.0,0.85,0.4,0.066,100000.0,1,0,0,0,0,0,38.114285714285714,38,0.06570024910047052,1,1,0,0,0.625
0,47,1,3,4.0,37,4,4,0,8567.0,1695,6872.0,1.242,1.412,0.198,70000.0,1,0,0,0,0,0,35.53658536585366,41,0.19785222364888524,1,1,0,0,1.327
0,44,1,1,3.0,36,6,2,2,34516.0,1533,32983.0,0.924,0.526,0.044,130000.0,0,0,1,0,0,0,55.275862068965516,33,0.04441418472592421,1,1,0,0,0.7250000000000001
1,55,0,4,3.0,45,2,4,3,2158.0,0,2158.0,0.585,0.714,0.0,50000.0,1,0,0,0,0,0,51.25,10,0.0,0,1,0,1,0.6495
0,59,0,1,4.0,52,2,3,3,10133.0,1417,8716.0,0.383,0.818,0.14,50000.0,1,0,0,0,0,0,53.4,19,0.13984012631994475,1,2,0,1,0.6005
0,53,1,1,4.0,35,5,4,2,34516.0,1219,33297.0,1.129,2.0,0.035,100000.0,0,0,0,0,0,0,58.888888888888886,28,0.035316954455904506,1,1,0,0,1.5645
0,52,1,2,4.0,47,5,3,0,3085.0,1910,1175.0,0.921,0.667,0.619,70000.0,1,0,0,0,0,0,43.74285714285714,37,0.6191247974068071,0,1,0,0,0.794
0,53,1,2,2.0,35,4,2,1,19040.0,2056,16984.0,0.607,0.722,0.108,130000.0,0,1,0,0,0,0,39.096774193548384,33,0.10798319327731093,1,1,0,0,0.6645
0,43,0,3,1.0,35,5,2,3,4026.0,0,4026.0,0.483,0.6,0.0,30000.0,0,1,0,0,0,0,38.65625,35,0.0,0,1,0,1,0.5415
0,44,1,3,2.0,31,4,3,1,12756.0,837,11919.0,1.932,1.8,0.066,70000.0,0,1,0,0,0,0,100.92857142857143,15,0.06561618062088428,1,1,0,0,1.866
0,57,1,2,3.0,45,5,3,3,5266.0,0,5266.0,1.702,1.636,0.0,130000.0,1,0,0,0,0,0,52.275862068965516,31,0.0,1,1,0,1,1.669
0,51,0,2,2.0,36,3,2,2,9930.0,0,9930.0,0.731,1.333,0.0,30000.0,0,1,0,0,0,0,60.76190476190476,22,0.0,1,1,0,0,1.032
0,49,1,4,2.0,38,4,3,0,31302.0,1953,29349.0,0.875,2.182,0.062,100000.0,0,1,0,0,0,0,44.68571428571428,36,0.06239217941345601,1,1,0,0,1.5285
0,45,1,1,4.0,36,4,4,3,6576.0,0,6576.0,0.579,0.619,0.0,50000.0,0,1,0,0,0,0,43.088235294117645,34,0.0,1,1,0,1,0.599
0,53,1,0,4.0,42,5,4,1,2664.0,2037,627.0,0.85,0.933,0.765,100000.0,0,1,0,0,0,0,44.3448275862069,30,0.7646396396396397,0,1,0,0,0.8915
0,45,0,3,3.0,28,5,1,2,2535.0,2440,95.0,1.705,1.222,0.963,50000.0,1,0,0,0,0,0,65.6,24,0.9625246548323472,0,1,0,0,1.4635
0,64,1,1,4.0,52,6,4,3,1709.0,895,814.0,1.656,0.882,0.524,30000.0,1,0,0,0,0,0,52.28125,34,0.5236980690462258,0,2,0,1,1.269
0,45,1,3,4.0,35,5,4,2,3454.0,1200,2254.0,0.597,0.304,0.347,50000.0,1,0,0,0,0,0,43.766666666666666,31,0.3474232773595831,0,1,0,0,0.4505
0,53,1,3,6.0,35,5,3,2,3789.0,1706,2083.0,1.047,0.68,0.45,50000.0,1,0,0,0,0,0,38.30952380952381,44,0.4502507257851676,0,1,0,0,0.8634999999999999
0,56,1,3,3.0,50,3,2,0,9689.0,2250,7439.0,0.576,0.727,0.232,130000.0,1,0,0,0,0,0,60.94736842105263,20,0.23222210754463826,1,2,0,0,0.6515
1,47,1,2,3.0,37,2,3,3,5449.0,1628,3821.0,0.696,0.385,0.299,100000.0,1,0,0,0,0,0,46.44444444444444,17,0.29877041659020004,1,1,0,1,0.5405
0,49,0,3,3.0,43,4,4,0,23032.0,1960,21072.0,0.619,1.0,0.085,50000.0,0,1,0,0,0,0,58.59090909090909,22,0.08509899270580062,1,1,0,0,0.8095
0,41,0,3,3.0,34,5,3,3,34516.0,2053,32463.0,1.034,0.733,0.059,50000.0,1,0,0,0,0,1,57.19230769230769,28,0.05947966160621161,1,1,0,1,0.8835
0,53,1,3,4.0,34,6,2,2,2940.0,1264,1676.0,0.562,0.5,0.43,130000.0,1,0,0,0,0,0,38.15151515151515,37,0.42993197278911566,0,1,0,0,0.531
0,44,0,2,4.0,32,3,3,3,3031.0,1879,1152.0,0.788,1.5,0.62,30000.0,0,1,0,0,0,0,86.53333333333333,15,0.6199274166941603,0,1,0,1,1.1440000000000001
0,44,1,3,2.0,25,3,3,0,1862.0,0,1862.0,0.883,0.789,0.0,70000.0,0,0,1,0,0,0,36.05882352941177,34,0.0,0,1,0,0,0.8360000000000001
0,43,0,4,5.0,33,2,3,3,8358.0,926,7432.0,0.762,0.542,0.111,30000.0,1,0,0,0,0,0,42.32432432432432,36,0.1107920555156736,1,1,0,1,0.652
0,53,1,2,5.0,36,6,1,2,34516.0,931,33585.0,0.828,1.1,0.027,130000.0,0,1,0,0,0,0,48.666666666666664,26,0.02697299802989918,1,1,0,0,0.964
0,44,1,1,1.0,36,5,2,3,14450.0,2440,12010.0,1.283,0.667,0.169,70000.0,1,0,0,0,0,0,41.166666666666664,33,0.16885813148788928,1,1,0,1,0.975
0,62,0,1,3.0,56,6,0,0,1438.3,0,1438.3,0.813,1.095,0.0,30000.0,1,0,0,0,0,0,44.34090909090909,50,0.0,0,2,0,0,0.954
0,54,1,4,3.0,36,6,3,2,33791.0,1960,31831.0,0.618,0.824,0.058,130000.0,0,0,0,0,0,0,33.774193548387096,34,0.058003610428812406,1,1,0,0,0.721
0,57,1,4,4.0,39,4,3,0,8466.0,1886,6580.0,0.56,0.391,0.223,70000.0,1,0,0,0,0,0,41.9375,33,0.22277344672808883,1,1,0,0,0.47550000000000003
0,42,1,3,3.0,36,5,3,3,15088.0,865,14223.0,0.939,1.625,0.057,70000.0,1,0,0,0,0,0,52.714285714285715,23,0.05733032873806999,1,1,0,1,1.282
0,42,1,4,2.0,36,5,1,2,3263.0,1674,1589.0,0.588,0.346,0.513,70000.0,0,0,0,0,0,0,35.74285714285714,39,0.5130248237817959,0,1,0,0,0.46699999999999997
0,54,0,0,1.0,36,2,2,2,1494.0,706,788.0,1.674,3.0,0.473,30000.0,1,0,0,0,0,0,54.375,24,0.4725568942436412,0,1,0,0,2.3369999999999997
0,48,1,3,4.0,35,6,1,0,13551.0,1294,12257.0,0.791,1.056,0.095,100000.0,0,1,0,0,0,0,37.513513513513516,42,0.09549110766733082,1,1,0,0,0.9235
0,49,1,1,4.0,36,6,2,2,18886.0,895,17991.0,1.826,1.571,0.047,100000.0,0,1,0,0,0,0,68.61111111111111,22,0.04738960076246956,1,1,0,0,1.6985000000000001
0,52,1,3,2.0,48,3,2,0,11976.0,1273,10703.0,1.024,1.118,0.106,100000.0,0,0,1,0,0,0,58.02777777777778,37,0.10629592518370073,1,1,0,0,1.0710000000000002
0,50,1,3,2.0,39,4,1,4,9964.0,1559,8405.0,1.873,0.786,0.156,100000.0,0,1,0,0,0,0,65.04,28,0.15646326776395023,1,1,0,1,1.3295
0,49,1,1,6.0,36,4,6,3,24159.0,1196,22963.0,0.712,1.0,0.05,70000.0,1,0,0,0,0,0,46.291666666666664,22,0.049505360321205345,1,1,0,1,0.856
0,53,0,2,2.0,44,3,2,3,5362.0,1901,3461.0,0.816,1.0,0.355,30000.0,1,0,0,0,0,0,40.86842105263158,39,0.3545318910854159,1,1,0,1,0.9079999999999999
0,50,1,2,4.0,36,3,2,2,34516.0,1023,33493.0,1.004,0.625,0.03,130000.0,0,1,0,0,0,0,81.84615384615384,14,0.029638428554873104,1,1,0,0,0.8145
0,55,0,1,6.0,36,4,1,0,3174.0,1951,1223.0,0.766,0.611,0.615,30000.0,1,0,0,0,0,0,42.86206896551724,32,0.6146817895400126,0,1,0,0,0.6885
0,53,1,1,2.0,47,3,2,2,12262.0,1836,10426.0,1.584,1.533,0.15,100000.0,1,0,0,0,0,0,43.6578947368421,39,0.14973087587669223,1,1,0,0,1.5585
0,47,0,3,2.0,41,4,3,3,3788.0,1540,2248.0,0.566,0.382,0.407,50000.0,0,1,0,0,0,0,33.91489361702128,48,0.4065469904963041,0,1,0,1,0.474
0,55,1,2,3.0,42,2,3,2,34516.0,1527,32989.0,0.526,0.355,0.044,130000.0,0,1,0,0,0,1,30.19047619047619,41,0.04424035230038243,1,1,0,0,0.4405
0,47,1,3,4.0,36,4,2,2,2926.0,0,2926.0,0.676,0.846,0.0,70000.0,0,1,0,0,0,0,54.333333333333336,26,0.0,0,1,0,0,0.761
0,58,1,4,4.0,52,6,1,0,32090.0,0,32090.0,0.567,0.364,0.0,130000.0,0,1,0,0,0,0,45.6,35,0.0,1,2,0,0,0.46549999999999997
1,53,1,2,4.0,41,3,3,2,11669.0,2227,9442.0,0.622,0.353,0.191,100000.0,1,0,0,0,0,0,31.304347826086957,23,0.19084754477675894,1,1,0,0,0.4875
0,52,1,2,2.0,45,3,1,2,13532.0,1300,12232.0,0.846,1.417,0.096,50000.0,0,1,0,0,0,0,52.44827586206897,31,0.09606857818504286,1,1,0,0,1.1315
0,50,0,1,1.0,36,4,2,2,11888.0,2090,9798.0,0.7,0.765,0.176,30000.0,0,0,1,0,0,1,37.9,32,0.17580753701211305,1,1,0,0,0.7324999999999999
0,42,0,1,4.0,36,5,1,2,2393.0,1985,408.0,0.788,0.778,0.83,30000.0,1,0,0,0,0,0,61.125,20,0.8295027162557459,0,1,0,0,0.783
0,43,1,4,3.0,39,5,1,2,6111.0,2517,3594.0,0.632,2.2,0.412,50000.0,1,0,0,0,0,0,76.3125,20,0.4118802160039273,1,1,0,0,1.4160000000000001
0,57,1,4,4.0,46,3,2,3,19270.0,1662,17608.0,1.186,1.545,0.086,100000.0,1,0,0,0,0,0,55.892857142857146,29,0.0862480539699014,1,1,0,1,1.3655
0,52,1,1,4.0,43,3,1,4,3710.0,2517,1193.0,1.541,0.7,0.678,100000.0,1,0,0,0,0,0,46.411764705882355,36,0.6784366576819407,0,1,0,1,1.1204999999999998
0,47,1,2,6.0,37,2,1,3,3235.0,797,2438.0,0.541,1.0,0.246,30000.0,0,1,0,0,0,0,46.65625,33,0.2463678516228748,0,1,0,1,0.7705
0,44,0,3,4.0,38,3,1,0,11749.0,788,10961.0,0.688,0.929,0.067,50000.0,0,1,0,0,0,0,43.629629629629626,29,0.06706953783300706,1,1,0,0,0.8085
0,53,1,2,2.0,36,5,3,2,7753.0,2100,5653.0,0.839,0.733,0.271,70000.0,0,0,0,0,0,0,38.11538461538461,28,0.2708628917838256,1,1,0,0,0.786
0,45,1,4,3.0,40,5,1,0,10408.0,1186,9222.0,1.689,1.211,0.114,70000.0,0,0,0,0,0,0,60.95238095238095,46,0.11395080707148347,1,1,0,0,1.4500000000000002
0,63,0,1,3.0,36,6,2,3,3967.0,1568,2399.0,1.236,1.231,0.395,50000.0,1,0,0,0,0,0,57.13793103448276,33,0.3952609024451727,0,1,0,1,1.2335
0,39,0,2,5.0,27,4,2,2,6205.0,2517,3688.0,0.939,0.727,0.406,30000.0,0,1,0,0,0,0,63.36842105263158,21,0.4056406124093473,1,1,0,0,0.833
1,48,0,5,2.0,38,1,3,3,8025.0,0,8025.0,0.654,0.8,0.0,30000.0,1,0,0,0,0,0,37.388888888888886,16,0.0,1,1,0,1,0.7270000000000001
0,51,1,1,3.0,42,6,2,3,9036.0,2327,6709.0,0.649,0.636,0.258,130000.0,0,1,0,0,0,0,62.833333333333336,22,0.25752545374059316,1,1,0,1,0.6425000000000001
0,54,1,4,4.0,34,2,3,2,14926.0,2517,12409.0,1.996,1.5,0.169,100000.0,1,0,0,0,0,0,63.04,24,0.1686319174594667,1,1,0,0,1.748
0,59,0,1,4.0,36,3,2,3,6335.0,1128,5207.0,0.397,0.667,0.178,30000.0,0,1,0,0,0,0,60.85,21,0.17805840568271508,1,1,0,1,0.532
1,59,1,1,3.0,53,2,3,3,14979.0,0,14979.0,0.71,1.0,0.0,70000.0,0,1,0,0,0,0,53.0,9,0.0,1,2,0,1,0.855
